FID;FID_buildi;osm_id;name;type;Shape_Leng;startX;startY;endX;endY
60178;785;457505980.000000000000000;Hotel Acta Antives;hotel;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60179;785;457505980.000000000000000;Hotel Acta Antives;hotel;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60180;787;457518882.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60181;787;457518882.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60182;787;457518882.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60183;877;543374600.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60184;877;543374600.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60185;877;543374600.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60186;878;543374601.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60187;878;543374601.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60188;878;543374601.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60189;895;543887494.000000000000000; ;house;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60190;895;543887494.000000000000000; ;house;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60191;895;543887494.000000000000000; ;house;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60192;1980;775788643.000000000000000; ; ;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60193;1980;775788643.000000000000000; ; ;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60194;1980;775788643.000000000000000; ; ;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60195;1981;775803760.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60196;1981;775803760.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60197;1981;775803760.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60198;1678;695649864.000000000000000; ;apartments;0.000053101136188;2.173336400154767;41.399637100272002;2.173345700044081;41.399644599718556
60199;1678;695649864.000000000000000; ;apartments;0.000053101136188;2.173345700044081;41.399644599718556;2.173323399555272;41.399662399999841
60200;1678;695649864.000000000000000; ;apartments;0.000053101136188;2.173323399555272;41.399662399999841;2.173313399993447;41.399654700004476
60201;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168285300326375;41.399419000286684;2.168276999583895;41.399425200212875
60202;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168276999583895;41.399425200212875;2.168271399505557;41.399429400046813
60203;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168271399505557;41.399429400046813;2.168196899667237;41.399485499756054
60204;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168196899667237;41.399485499756054;2.168210099916223;41.399495399493162
60205;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168210099916223;41.399495399493162;2.168176699994774;41.399520499571452
60206;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168176699994774;41.399520499571452;2.168174199879445;41.399522399838929
60207;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168174199879445;41.399522399838929;2.168160999630459;41.399512400277104
60208;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168160999630459;41.399512400277104;2.168153000160885;41.399518399654482
60209;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168153000160885;41.399518399654482;2.168137699994929;41.399529799460709
60210;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168137699994929;41.399529799460709;2.168102899829023;41.399556000309246
60211;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168102899829023;41.399556000309246;2.168078299773754;41.399574500263043
60212;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168078299773754;41.399574500263043;2.168143099524457;41.399627099810857
60213;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168143099524457;41.399627099810857;2.168196100169951;41.399662499824558
60214;1204;648300815.000000000000000; ;apartments;0.000469537986878;2.168196100169951;41.399662499824558;2.168220499676352;41.399644499893782
60215;479;363563600.000000000000000; ;apartments;0.000009481517884;2.182463542258688;41.399664648304906;2.182456499667751;41.399658299990620
60216;481;363583532.000000000000000; ;apartments;0.000009481517884;2.182463542258688;41.399664648304906;2.182456499667751;41.399658299990620
60217;482;363600295.000000000000000; ;apartments;0.000009481517884;2.182463542258688;41.399664648304906;2.182456499667751;41.399658299990620
60218;863;507842038.000000000000000; ;apartments;0.000009481517884;2.182463542258688;41.399664648304906;2.182456499667751;41.399658299990620
60219;479;363563600.000000000000000; ;apartments;0.000054706839370;2.182507309564755;41.399631826647521;2.182463542258688;41.399664648304906
60220;481;363583532.000000000000000; ;apartments;0.000054706839370;2.182507309564755;41.399631826647521;2.182463542258688;41.399664648304906
60221;482;363600295.000000000000000; ;apartments;0.000054706839370;2.182507309564755;41.399631826647521;2.182463542258688;41.399664648304906
60222;894;543887492.000000000000000; ;apartments;0.000054706839370;2.182507309564755;41.399631826647521;2.182463542258688;41.399664648304906
60223;33;185444041.000000000000000; ;apartments;0.000066180645686;2.182301899912773;41.399632199866176;2.182354700009455;41.399672100087400
