FID;FID_buildi;osm_id;name;type;startX;startY;endY;endX
1294;18;886739585.000000000000000; ; ;-0.352542000000000;39.539772700000000;39.539957999999999;-0.352918500000020
1295;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.354425700000000;39.540021400000001;39.539169500000000;-0.355132399999968
1296;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.355132400000000;39.539169500000000;39.539319900000002;-0.355415799999968
1297;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.355415800000000;39.539319900000002;39.540163200000002;-0.354710200000029
1298;7;886662639.000000000000000; ; ;-0.354425700000000;39.540021400000001;39.539169500000000;-0.355132399999968
1299;7;886662639.000000000000000; ; ;-0.355132400000000;39.539169500000000;39.539319900000002;-0.355415799999968
1300;7;886662639.000000000000000; ; ;-0.355415800000000;39.539319900000002;39.540163200000002;-0.354710200000029
1301;25;886739593.000000000000000; ; ;-0.354425700000000;39.540021400000001;39.539169500000000;-0.355132399999968
1302;25;886739593.000000000000000; ; ;-0.355132400000000;39.539169500000000;39.539319900000002;-0.355415799999968
1303;25;886739593.000000000000000; ; ;-0.355415800000000;39.539319900000002;39.540163200000002;-0.354710200000029
1304;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.354710200000000;39.540163200000002;39.540021400000001;-0.354425700000026
1305;7;886662639.000000000000000; ; ;-0.354710200000000;39.540163200000002;39.540021400000001;-0.354425700000026
1306;25;886739593.000000000000000; ; ;-0.354710200000000;39.540163200000002;39.540021400000001;-0.354425700000026
1307;10;886662654.000000000000000; ; ;-0.357328100000000;39.540206900000001;39.539662700000001;-0.357787099999972
1308;10;886662654.000000000000000; ; ;-0.357787100000000;39.539662700000001;39.539816299999998;-0.358144300000039
1309;68;972251352.000000000000000; ; ;-0.357328100000000;39.540206900000001;39.539662700000001;-0.357787099999972
1310;68;972251352.000000000000000; ; ;-0.357787100000000;39.539662700000001;39.539816299999998;-0.358144300000039
1311;70;972251355.000000000000000; ; ;-0.357328100000000;39.540206900000001;39.539662700000001;-0.357787099999972
1312;70;972251355.000000000000000; ; ;-0.357787100000000;39.539662700000001;39.539816299999998;-0.358144300000039
1313;73;972251358.000000000000000; ; ;-0.357328100000000;39.540206900000001;39.539662700000001;-0.357787099999972
1314;73;972251358.000000000000000; ; ;-0.357787100000000;39.539662700000001;39.539816299999998;-0.358144300000039
1315;62;886739638.000000000000000; ; ;-0.350741400000000;39.539806300000002;39.539781300000001;-0.350681600000034
1316;62;886739638.000000000000000; ; ;-0.350681600000000;39.539781300000001;39.539867600000001;-0.350618899999998
1317;62;886739638.000000000000000; ; ;-0.350618900000000;39.539867600000001;39.539786200000002;-0.350416200000013
1318;62;886739638.000000000000000; ; ;-0.350416200000000;39.539786200000002;39.539074800000002;-0.350917199999988
1319;62;886739638.000000000000000; ; ;-0.350917200000000;39.539074800000002;39.539109900000000;-0.351015799999975
1320;62;886739638.000000000000000; ; ;-0.351015800000000;39.539109900000000;39.539034700000002;-0.351124499999998
1321;62;886739638.000000000000000; ; ;-0.351124500000000;39.539034700000002;39.538953900000003;-0.350896599999971
1322;62;886739638.000000000000000; ; ;-0.350896600000000;39.538953900000003;39.539771000000002;-0.350326799999988
1323;62;886739638.000000000000000; ; ;-0.350326800000000;39.539771000000002;39.539442899999997;-0.349561000000041
1324;62;886739638.000000000000000; ; ;-0.349561000000000;39.539442899999997;39.538734800000000;-0.350049899999992
1325;62;886739638.000000000000000; ; ;-0.350049900000000;39.538734800000000;39.537691000000002;-0.350753200000008
1326;62;886739638.000000000000000; ; ;-0.350753200000000;39.537691000000002;39.538010900000003;-0.351532199999981
1327;62;886739638.000000000000000; ; ;-0.351532200000000;39.538010900000003;39.537970299999998;-0.351561900000040
1328;62;886739638.000000000000000; ; ;-0.351561900000000;39.537970299999998;39.537643199999998;-0.350788900000031
